1 2 3
10 0 30
1 1 1
10 10 1
2 3 7
0 0 30
0 1 30
2 0 30
0 3 30
0 4 30
5 0 30
0 6 30
0 7 30
0 8 30
0 9 30
0 10 30
1 1 30
1 2 30
3 1 30
1 4 30
1 5 30
6 1 30
1 7 30
8 1 30
1 9 30
10 1 30
2 2 30
3 2 30
2 4 30
2 5 30
2 6 30
2 7 30
2 8 30
9 2 30
2 10 30
3 3 30
3 4 30
5 3 30
3 6 30
7 3 30
8 3 30
3 9 30
10 3 30
4 4 30
4 5 30
4 6 30
4 7 30
8 4 30
4 9 30
10 4 30
5 5 30
6 5 30
7 5 30
8 5 30
9 5 30
10 5 30
6 6 30
7 6 30
8 6 30
9 6 30
10 6 30
7 7 30
7 8 30
9 7 30
7 10 30
8 8 30
9 8 30
8 10 30
9 9 30
10 9 30
10 10 30
10 10 1
10 10 2
10 10 3
10 10 4
10 10 5
10 10 6
10 10 7
10 10 8
10 10 9
10 10 10
10 10 11
10 10 12
10 10 13
10 10 14
10 10 15
10 10 16
10 10 17
10 10 18
10 10 19
10 10 20
10 10 21
10 10 22
10 10 23
10 10 24
10 10 25
10 10 26
10 10 27
10 10 28
10 10 29
10 0 1
10 0 2
10 0 3
10 0 4
10 0 5
10 0 6
10 0 7
10 0 8
10 0 9
10 0 10
10 0 11
10 0 12
10 0 13
10 0 14
10 0 15
10 0 16
10 0 17
10 0 18
10 0 19
10 0 20
10 0 21
10 0 22
10 0 23
10 0 24
10 0 25
10 0 26
10 0 27
10 0 28
10 0 29
0 10 1
0 10 2
0 10 3
0 10 4
0 10 5
0 10 6
0 10 7
0 10 8
0 10 9
0 10 10
0 10 11
0 10 12
0 10 13
0 10 14
0 10 15
0 10 16
0 10 17
0 10 18
0 10 19
0 10 20
0 10 21
0 10 22
0 10 23
0 10 24
0 10 25
0 10 26
0 10 27
0 10 28
0 10 29
10 7 11
8 8 6
1 10 24
6 9 21
3 1 19
3 9 5
3 5 29
1 1 9
1 6 15
8 8 3
0 0 4
8 8 12
6 4 23
5 3 25
8 1 3
0 0 6
7 2 18
2 4 26
3 3 20
7 9 10
5 3 24
8 6 22
4 5 18
9 7 4
5 4 4
0 6 21
7 10 9
7 8 15
7 1 7
10 4 4
10 3 2
1 9 17
7 1 21
0 3 28
5 3 14
9 3 11
5 0 26
8 1 28
5 1 27
4 2 25
6 1 19
10 5 10
4 2 6
7 10 19
7 5 3
8 1 7
9 7 14
10 1 2
2 0 12
4 4 3
4 5 14
7 8 18
2 4 18
9 6 8
7 6 27
3 4 19
8 5 7
7 9 23
9 2 24
2 3 22
5 10 6
0 2 27
3 9 23
10 3 12
9 0 8
0 5 13
0 1 22
3 4 17
2 1 9
0 7 10
8 7 17
9 7 1
1 1 13
4 1 1
5 8 18
2 9 2
5 0 12
7 2 25
5 4 2
0 1 25
9 10 30
10 9 17
1 10 30
