    "**.",{"..*","*.**",".*.*"}		3
	"..***",{"..****..*","..***....","..****"}		2
	"*..*",{"*..*......","*.....*...","...*.....*","...*..*...","*........*","*...***..*"}		6
	"...***",{"***...","..****","**....**",".*.*.*"}		3
	"..................................................",{"."}		1
	".*.",{"*.*",".","***","*"}		1
	"*..",{"*","*...","*.....","*.........",".*.....",".*"}		4
	"*..*",{"*..*","***","************************************************","**...*","**....*","**.....*","...."}		4
	"**************************************************",{"**********************************************.**.","******************************************..*.***.",".*****************************************..*.***.",".**.**.**.**.**.**.**.**.**.**.**.**.**....******.",".***..************************************..*.***.",".***..********************************************",".**.**.**.**.**.**.**.**.**.**.**.**.**.**.**.****",".**.**.**.**.**.**.**.**.**.**.**.**.**....*******",".**.**.**.**.**.**.**.*..**.**.**.**.**....*******","**************************************************"}		7
	"****..........**.*..******..***..*",{"*..*.*.*...****.*","**..**..*..****.*.*.**.....****.**","****.*.**.***...*...*...*....*..**.****..","..**..**.*.*****..*.*.**.***.*..*****...*...*","*.","..*.**.....****.*******.****","***.**...*","****....*.*.*.**......*..","**..**..**..**..*..**.**.*****..****..**......**","**.*..****......*.*",".*..*.***.*..."}		4
	"*******.*******..*.**********.****.*.***.*",{"***************..**.****************.****","***************.***...**.*****.**.*.***.***..**","*.**.*******.*.****.*.***.**.****..****.*.*","****.******.**.**..*.***..******.*.********.***","***************.*****.*****.************..*.**.*","***.*.***..***.*..***.**********************.***","****.**********.*..****.*****.*..**.**..",".***.**..*.**************..************.****.***","*****.***.*.**.***.*.**.*********.*...********","..*.****.********.*******.********.*********","*************.**..******..*.*********..******","**.***.*********.**************.********.**",".***.********.*********..******..******.****","**.****.*****.*.*.**.****..******.*....*******","*.****.*.*.****.*****.*******.***************.****","***.*************.*******.*.***.*..********","***.*...********..****************.*****..*****","****.******.*********.**.***********.***..*...***","***********.*.******.*****.***.******.**.","*.***.******.*****.**.******.****.****.*.**","******.*.****.*******.******..**********.**..","*.***.***********.*******.********..**************",".*****.****************.*********************","**..**.**.**..*.***.**.*******.****.******","**.*.*.******.*.**********.*.***********.**.*****",".**.**.**..***....**********.*******.****.*.***.","*.******.**********************.*.******.*.*","**.**.***.****.**.*******.***.*.*********.***..**",".******..****.***..*****.**.************.","..****.********.**.*.**.*.*.*********.*********","*.****************.*****************.***.",".****..**.**.**.***..******.****.*****.*.******.*.","***.***.***..************.****.**.*****.*.*",".****.***********.***.***.*.**********.*******","**.***.**..**.***.*******.****.**********.","********.**.***.******.****.****.*******.","********.*.**********.**.******.**.*************","*.****.**.**.*.**.****.*****.*******.*.*******..","*.*******.*********.***.*************..**.","**.********.***.*..************.*************..*","****...**.***.**********.*..*..*****.****",".*******.**.*.**.************.*****...***.****","******.**..****.****.*..*.*..****************","**.*************************.***.********.","**.******.****.*.***..*.***********..***.****.*..*","**..*******.*.**.******.***********.******.**.",".**********.*.********.*******.************..**","*.**.*****.***.**.**********.****.**.****.****","*****.*********.*.**.**.**.*..**.****.*.****",".**.**.****.*..*.******.**.***.*****.******.**"}		8
