5,8 7,3		4			


	7,3 5,8		2			


	10,5,1 10,5,1		4			


	1,10,7,4 15,3,8,7		5			


	1 1		1			


	1 2		0			


	2 1		2			


	4,7 4,6		3			


	4,6 4,7		2			


	5,9 4,9		3			


	4,9 5,9		2			


	6,6 5,6		3			


	5,6 6,6		1			


	6,6 5,7		2			


	5,7 6,6		2			


	6,6 7,8		0			


	7,8 6,6		4			


	6,6 1,2		4			


	1,2 6,6		0			


	1,2,3,4,5,6,7,8,9 5,5,5,5,5,5,5,5,5		9			


	5,5,5,5,5,5,5,5,5 1,2,3,4,5,6,7,8,9		9			


	1,2,3,4,5,6,7,8 3,3,4,4,5,5,6,6		11			


	3,3,4,4,5,5,6,6 1,2,3,4,5,6,7,8		11			


	1,1,2,2,3,3,4,4,5,5,6,6 1,1,2,2,3,3,4,4,5,5,6,6		20			


	1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000 1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000		50			


	1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1		100			


	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000		0			


	31,54,78,89,55,18,87,49,55,19,2,32,71,76,89,5,8,68,49,5,25,24,74,38,29,13,83,83,83,23,16,47,12,2,43,77,67,49,60,50,48,26,81,23,30,97,29,40,11,96 66,43,63,11,18,13,7,80,2,41,63,93,85,92,19,25,25,6,15,21,44,36,57,58,91,81,28,16,9,49,58,57,7,47,42,9,92,26,39,48,82,61,30,64,22,48,71,52,69,87		94			


	1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,1 2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1		42			


	83,91,100,5,31,58,6,54,89,91,11,22,62,41,70,11,56,64,46,40,83,70,92,85,87,85,10,86,54,4,15,19,47,15,20,75,64,98,41,34,89,26,1,59,1,32,85,48,41,94 162,192,156,155,171,189,152,135,191,129,104,111,144,166,149,185,192,112,195,132,111,108,157,101,128,181,119,174,161,146,141,119,125,101,145,108,109,111,175,121,191,190,137,184,170,123,135,129,122,149		0			


	146,121,187,113,138,117,175,115,197,163,189,102,126,189,134,147,103,138,115,139,179,129,194,108,195,150,156,164,141,124,103,151,173,142,128,153,165,123,180,139,102,181,129,139,197,194,169,128,145,171 51,83,41,27,52,51,60,38,83,87,39,55,46,66,87,60,23,7,69,91,3,8,41,7,55,19,39,16,54,20,50,42,25,25,40,18,38,70,46,53,54,69,72,54,18,77,25,97,32,27		100			


	1000,10,993,9,8,7,993,1,1,1,2,989,12,23,54,2,46,464,346,8,6,787,343,667,97,56,867,5,98,1,345,3,4,56,325,756,672,834,741,23,6,4,737,644,34,32,75,57,222,44 1000,10,994,8,8,993,8,1,2,1,1,988,23,456,74,47,457,856,325,8,47,97,32,64,86,9,7,87,7,879,9,34,23,43,54,675,345,335,57,57,346,46,325,35,665,12,1,43,765,7		85			


	1,1,1,1,1,1,10,10,10 5,5,5,5,30,30,30,30,30		6			


	1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,2,3,23,24,24,25 3,10,25,8,22,2,6,5,10,8,17,11,11,25,24,6,18,9,7,4,25,1,15,10,11,20,10,12,6,12,21,10,23,20,17,20,23,23,24,8,7,17,20,19,17,21,24,11,4,5		84			


	1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10 1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10		90			


	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50		98			


	42,468,335,501,170,725,479,359,963,465,706,146,282,828,962,492,996,943,828,437,392,605,903,154,293,383,422,717,719,896,448,727,772,539,870,913,668,300,36,895,704,812,323,334,674,665,142,712,254,869 548,645,663,758,38,860,724,742,530,779,317,36,191,843,289,107,41,943,265,649,447,806,891,730,371,351,7,102,394,549,630,624,85,955,757,841,967,377,932,309,945,440,627,324,538,539,119,83,930,542		94			


	10,8,10 9,7,10		5			


	1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7 1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7		76			


	655,623,956,539,359,666,637,69,496,979,620,659,158,120,142,706,860,231,900,520,259,790,324,625,944,527,927,796,843,523,681,250,734,954,715,817,628,463,898,333,315,399,395,845,423,166,943,93,491,484 965,58,604,794,653,833,101,437,327,619,78,825,26,78,232,436,222,666,342,652,808,591,336,65,677,578,855,685,396,714,646,864,148,962,305,761,812,589,293,387,752,727,366,39,805,486,916,352,616,61		98			


	860,860,860,463,281,586,636,540,103,573,893,890,639,45,320,23,667,305,556,775,716,630,529,1000,173,741,174,276,6,51,724,763,291,663,401,334,250,511,710,373,696,467,449,265,317,432,92,955,707,14 860,860,860,643,251,874,705,190,310,9,539,285,408,615,861,951,413,319,368,714,264,688,670,271,317,43,639,353,792,872,240,770,348,2,687,325,253,750,464,509,543,704,963,989,4,998,148,198,698,899		87			


